city,make,model,name,owner,state,type,url,year,zip,average_turnover,total_turnover,total_trips_days,observed_trips
Austin,Porsche,Macan,Tauhha's Porsche,Tauhha Z.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/porsche/macan/942601,2018,78701,115.00,804,6,2
Austin,Chevrolet,Corvette,HandiFleet's Stingray,HandiFleet L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/chevrolet/corvette/994059,2016,78701,216.00,1506,7,1
Austin,Tesla,Model 3,HandiFleet's Tesla,HandiFleet L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-3/979289,2018,78701,83.00,580,4,2
Austin,Alfa-romeo,Giulia,Tauhha's Alfa-romeo,Tauhha Z.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/alfa-romeo/giulia/919858,2021,78701,31.00,212,2,1
Austin,Tesla,Model 3,HandiFleet's Tesla,HandiFleet L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/tesla/model-3/993380,2020,78701,143.00,995,5,1
Austin,Tesla,Model Y,Jad's Tesla,Jad A.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/tesla/model-y/938095,2021,78701,55.00,382,2,1
Austin,Jeep,Wrangler,HandiFleet's Jeep,HandiFleet L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/jeep/wrangler/954600,2020,78701,43.00,297,3,2
Austin,Jeep,Wrangler Unlimited,HandiFleet's Jeep,HandiFleet L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/jeep/wrangler-unlimited/1001840,2021,78701,74.00,516,4,1
Austin,Audi,A7,HandiFleet's Audi,HandiFleet L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/audi/a7/1005034,2018,78701,85.00,592,4,2
Austin,smart,fortwo,ANGEL's smart,ANGEL L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/smart/fortwo/1020461,2010,,0.00,0,0,0
Austin,Hyundai,Sonata,Larissa's Hyundai,Larissa K.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/hyundai/sonata/947920,2016,78701,0.00,0,0,0
Austin,BMW,2-Series,HandiFleet's BMW,HandiFleet L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/bmw/2-series/995115,2021,,101.00,706,7,1
Austin,Alfa Romeo,Stelvio,HandiFleet's Alfa Romeo,HandiFleet L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/alfa-romeo/stelvio/901596,2018,,0.00,0,0,1
Austin,Lexus,ES,HandiFleet's Lexus,HandiFleet L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/lexus/es/968899,2021,,71.00,495,5,2
Austin,Alfa Romeo,Stelvio,HandiFleet's Alfa Romeo,HandiFleet L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/alfa-romeo/stelvio/891177,2018,,30.00,210,2,1
Austin,Dodge,Charger,KRW's Dodge,Montel W.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/dodge/charger/980100,2021,,0.00,0,0,0
